ipc_section,bns_section,notes
137,165,"Deserter concealed on board, merchant vessel through negligence of master"
138,166,"Abetment of act of insubordination by soldier, sailor or airman"
138A,Repealed In BNS,(Repealed) Application of foregoing sections to the Indian Marine Service.
139,167,Persons subject to certain Acts
140,168,"Wearing garb or carrying token used by soldier, sailor or airman"
141,189(1),Unlawful assembly
142,189(2),Being member of unlawful assembly
143,189(3),Punishment
144,189(4),Joining unlawful assembly armed with deadly weapon
145,189(3)(5),"Joining or continuing in unlawful assembly, knowing it has been commanded to disperse"
146,191(1),Rioting
147,191(2),Punishment for rioting
148,191(3),"Rioting, armed with deadly weapon"
149,190,Every member of unlawful assembly guilty of offence committed in prosecution of common object
150,189(6),"Hiring, or conniving at hiring, of persons to join unlawful assembly"
151,189(5),Knowingly joining or continuing in assembly of five or more persons after it has been commanded to disperse
152,195,"Assaulting or obstructing public servant when suppressing riot, etc."
153,192,Wantonly giving provocation with intent to cause riot – If rioting be committed – If not committed
153A,196,"Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony"
153B,197,"Imputations, assertions prejudicial to national integration"
154,193(1),Owner or occupier of land on which an unlawful assembly is held
155,193(2),Liability of person for whose benefit riot is committed
156,193(3),Liability of agent or owner or occupier for whose benefit riot is committed
157,189(7),Harbouring persons hired for an unlawful assembly
158,189(8)(9),Being hired to take part in an unlawful assembly or riot
159,194(1),Affray
160,194(2),Punishment for committing affray
166,198,"Public servant disobeying law, with intent to cause injury to any person"
167,201,Public servant framing an incorrect document with intent to cause injury
168,202,Public servant unlawfully engaging in trade
169,203,Public servant unlawfully buying or bidding for property
170,204,Personating a public servant
171,205,Wearing garb or carrying token used by public servant with fraudulent intent
171A,206,"“Candidate”, “electoral right” defined"
171B,207,Bribery
171C,171,Under influence at elections
171D,172,Personation at elections
171E,173,Punishment for bribery
171F,174,Punishment for undue influence or personation at an election
171G,175,False statement in connection with an election
171H,176,Illegal payment in connection with an election
171I,177,Failure to keep election accounts
172,206,Absconding to avoid service of summons or other proceeding
173,207,"Preventing service of summons or other proceeding, or preventing publication thereof"
174,208,Nonattendance in obedience to an order from public servant
174A,209,Nonappearance in response to a proclamation under section 82 of Act 2 of 1974
175,210,"Omission to produce document or electronic record to public servant by person, legally bound to produce it"
176,211,Omission to give notice or information to public servant by person legally bound to give it
177,212,Furnishing false information
178,213,Refusing oath or affirmation when duly required by public servant to make it
179,214,Refusing to answer public servant authorised to question
180,215,Refusing to sign statement
181,216,False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation
182,217,"False information, with intent to cause public servant to use his lawful power to the injury of another person"
183,218,Resistance to the taking of property by the lawful authority of a public servant
184,219,Obstructing sale of property offered for sale by authority of public servant
185,220,Illegal purchase or bid for property offered for sale by authority of public servant
186,221,Obstructing public servant in discharge of public functions
187,222,Omission to assist public servant when bound by law to give assistance
188,223,Disobedience to order duly promulgated by public servant
189,224,Threat of injury to public servant
190,225,Threat of injury to induce person to refrain from applying for protection to public servant
191,227,Giving false evidence
192,228,Fabricating false evidence
193,229,Punishment for false evidence
194,230,Giving or fabricating false evidence with intent to procure conviction of capital offence
195,231,Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment
195A,232,Threatening any person to give false evidence
196,233,Using evidence known to be false
197,234,Issuing or signing false certificate
198,235,Using as true a certificate known to be false
