file,status,page_count,text_extractable,first_chars
Axis_Bank_vs_Sbs_Organics_Pvt_Ltd_Anr_on_22_April_2016_1.PDF,ok,11,True,"Axis Bank vs Sbs Organics Pvt. Ltd & Anr on 22 April, 2016
Equivalent citations: AIR 2016 SUPREME CO"
Babita_Lila_Anr_vs_Union_Of_India_on_31_August_2016_1.PDF,ok,19,True,"Babita Lila & Anr vs Union Of India on 31 August, 2016
Equivalent citations: AIR 2016 SUPREME COURT "
Baby_Sebastian_Anr_vs_Circle_Inspector_Of_Police_Adimaly_on_26_July_2016_1.PDF,ok,13,True,"Baby @ Sebastian & Anr vs Circle Inspector Of Police Adimaly
on 26 July, 2016
Equivalent citations: "
Bakshi_Security_And_Personnel_Services_vs_Devkishan_Computed_Pvt_Ltd_And_Ors_on_26_July_2016_1.PDF,ok,9,True,"Bakshi Security And Personnel Services ... vs Devkishan
Computed Pvt Ltd And Ors on 26 July, 2016
Eq"
Ballarpur_Industries_Ltd_Bilt_vs_Maharashtra_Lok_Kamgar_Sanghatana_And_on_2_March_2016_1.PDF,ok,2,True,"Ballarpur Industries Ltd. (Bilt ... vs Maharashtra Lok Kamgar
Sanghatana And ... on 2 March, 2016
Eq"
Balram_Yadav_vs_Fulmaniya_Yadav_on_27_April_2016_1.PDF,ok,4,True,"Balram Yadav vs Fulmaniya Yadav on 27 April, 2016
Bench: Rohinton Fali Nariman, Kurian Joseph
      "
Balveer_Singh_And_Anr_vs_State_Of_Rajasthan_And_Anr_on_10_May_2016_1.PDF,ok,13,True,"Balveer Singh And Anr vs State Of Rajasthan And Anr on 10
May, 2016
Equivalent citations: AIR 2016 S"
Basant_Singh_vs_State_Of_H_P_Ors_on_26_September_2016_1.PDF,ok,2,True,"Basant Singh vs State Of H.P & Ors on 26 September, 2016
Equivalent citations: AIRONLINE 2016 SC 291"
Benson_vs_State_Of_Kerala_on_3_October_2016_1.PDF,ok,6,True,"Benson vs State Of Kerala on 3 October, 2016
Equivalent citations: AIRONLINE 2016 SC 19
Author: Uday"
Bhagwan_Jagannath_Markad_Ors_vs_State_Of_Maharashtra_on_4_October_2016_1.PDF,ok,12,True,"Bhagwan Jagannath Markad & Ors vs State Of Maharashtra on 4
October, 2016
Equivalent citations: 2017"
Bhagwan_Sahai_vs_State_Of_Rajasthan_on_3_June_2016_1.PDF,ok,4,True,"Bhagwan Sahai vs State Of Rajasthan on 3 June, 2016
Equivalent citations: AIR 2016 SUPREME COURT 271"
Bharat_Aluminium_Co_vs_Kaiser_Aluminium_Technical_on_28_January_2016_1.PDF,ok,6,True,"Bharat Aluminium Co vs Kaiser Aluminium Technical ... on 28
January, 2016
Equivalent citations: AIR "
