act_id,article_id
CONST_1950,CONST_1950_Art211
CONST_1950,CONST_1950_Art212
CONST_1950,CONST_1950_Art213
CONST_1950,CONST_1950_Art214
CONST_1950,CONST_1950_Art215
CONST_1950,CONST_1950_Art216
CONST_1950,CONST_1950_Art217
CONST_1950,CONST_1950_Art218
CONST_1950,CONST_1950_Art219
CONST_1950,CONST_1950_Art220
CONST_1950,CONST_1950_Art221
CONST_1950,CONST_1950_Art222
CONST_1950,CONST_1950_Art223
CONST_1950,CONST_1950_Art224
CONST_1950,CONST_1950_Art224A
CONST_1950,CONST_1950_Art225
CONST_1950,CONST_1950_Art226
CONST_1950,CONST_1950_Art227
CONST_1950,CONST_1950_Art228
CONST_1950,CONST_1950_Art229
CONST_1950,CONST_1950_Art230
CONST_1950,CONST_1950_Art231
CONST_1950,CONST_1950_Art233
CONST_1950,CONST_1950_Art233A
CONST_1950,CONST_1950_Art234
CONST_1950,CONST_1950_Art235
CONST_1950,CONST_1950_Art237
CONST_1950,CONST_1950_Art239
CONST_1950,CONST_1950_Art239A
CONST_1950,CONST_1950_Art239B
CONST_1950,CONST_1950_Art240
CONST_1950,CONST_1950_Art241
CONST_1950,CONST_1950_Art243A
CONST_1950,CONST_1950_Art243B
CONST_1950,CONST_1950_Art243C
CONST_1950,CONST_1950_Art243D
CONST_1950,CONST_1950_Art243E
CONST_1950,CONST_1950_Art243G
CONST_1950,CONST_1950_Art243H
CONST_1950,CONST_1950_Art243J
CONST_1950,CONST_1950_Art243K
CONST_1950,CONST_1950_Art243L
CONST_1950,CONST_1950_Art243M
CONST_1950,CONST_1950_Art243N
CONST_1950,CONST_1950_Art243Q
CONST_1950,CONST_1950_Art243R
CONST_1950,CONST_1950_Art243S
CONST_1950,CONST_1950_Art243T
CONST_1950,CONST_1950_Art243U
CONST_1950,CONST_1950_Art243W
CONST_1950,CONST_1950_Art243X
CONST_1950,CONST_1950_Art243Y
CONST_1950,CONST_1950_Art243Z
CONST_1950,CONST_1950_Art244
CONST_1950,CONST_1950_Art244A
CONST_1950,CONST_1950_Art245
CONST_1950,CONST_1950_Art246
CONST_1950,CONST_1950_Art246A
CONST_1950,CONST_1950_Art247
CONST_1950,CONST_1950_Art248
CONST_1950,CONST_1950_Art249
CONST_1950,CONST_1950_Art250
CONST_1950,CONST_1950_Art251
CONST_1950,CONST_1950_Art252
CONST_1950,CONST_1950_Art253
CONST_1950,CONST_1950_Art254
CONST_1950,CONST_1950_Art255
CONST_1950,CONST_1950_Art256
CONST_1950,CONST_1950_Art257
CONST_1950,CONST_1950_Art258
CONST_1950,CONST_1950_Art258A
CONST_1950,CONST_1950_Art260
CONST_1950,CONST_1950_Art261
CONST_1950,CONST_1950_Art262
CONST_1950,CONST_1950_Art263
CONST_1950,CONST_1950_Art265
CONST_1950,CONST_1950_Art266
CONST_1950,CONST_1950_Art267
CONST_1950,CONST_1950_Art268
CONST_1950,CONST_1950_Art269
CONST_1950,CONST_1950_Art269A
CONST_1950,CONST_1950_Art270
CONST_1950,CONST_1950_Art271
CONST_1950,CONST_1950_Art273
CONST_1950,CONST_1950_Art274
CONST_1950,CONST_1950_Art275
CONST_1950,CONST_1950_Art276
CONST_1950,CONST_1950_Art277
CONST_1950,CONST_1950_Art279
CONST_1950,CONST_1950_Art279A
CONST_1950,CONST_1950_Art280
CONST_1950,CONST_1950_Art281
CONST_1950,CONST_1950_Art282
CONST_1950,CONST_1950_Art283
CONST_1950,CONST_1950_Art284
CONST_1950,CONST_1950_Art285
CONST_1950,CONST_1950_Art286
CONST_1950,CONST_1950_Art287
CONST_1950,CONST_1950_Art288
CONST_1950,CONST_1950_Art289
CONST_1950,CONST_1950_Art290
CONST_1950,CONST_1950_Art290A
CONST_1950,CONST_1950_Art292
CONST_1950,CONST_1950_Art293
CONST_1950,CONST_1950_Art294
CONST_1950,CONST_1950_Art295
CONST_1950,CONST_1950_Art296
CONST_1950,CONST_1950_Art300A
CONST_1950,CONST_1950_Art301
CONST_1950,CONST_1950_Art302
CONST_1950,CONST_1950_Art303
CONST_1950,CONST_1950_Art304
CONST_1950,CONST_1950_Art305
CONST_1950,CONST_1950_Art307
CONST_1950,CONST_1950_Art309
CONST_1950,CONST_1950_Art310
CONST_1950,CONST_1950_Art311
CONST_1950,CONST_1950_Art312
CONST_1950,CONST_1950_Art312A
CONST_1950,CONST_1950_Art313
CONST_1950,CONST_1950_Art316
CONST_1950,CONST_1950_Art317
CONST_1950,CONST_1950_Art318
CONST_1950,CONST_1950_Art319
CONST_1950,CONST_1950_Art320
CONST_1950,CONST_1950_Art321
CONST_1950,CONST_1950_Art322
CONST_1950,CONST_1950_Art323
CONST_1950,CONST_1950_Art323A
CONST_1950,CONST_1950_Art323B
CONST_1950,CONST_1950_Art327
CONST_1950,CONST_1950_Art328
CONST_1950,CONST_1950_Art329
CONST_1950,CONST_1950_Art330A
CONST_1950,CONST_1950_Art331
CONST_1950,CONST_1950_Art332A
CONST_1950,CONST_1950_Art333
CONST_1950,CONST_1950_Art334A
CONST_1950,CONST_1950_Art335
CONST_1950,CONST_1950_Art336
CONST_1950,CONST_1950_Art337
CONST_1950,CONST_1950_Art338A
CONST_1950,CONST_1950_Art338B
CONST_1950,CONST_1950_Art340
CONST_1950,CONST_1950_Art342A
CONST_1950,CONST_1950_Art343
CONST_1950,CONST_1950_Art345
CONST_1950,CONST_1950_Art346
CONST_1950,CONST_1950_Art347
CONST_1950,CONST_1950_Art348
CONST_1950,CONST_1950_Art349
CONST_1950,CONST_1950_Art350
CONST_1950,CONST_1950_Art350A
CONST_1950,CONST_1950_Art350B
CONST_1950,CONST_1950_Art351
CONST_1950,CONST_1950_Art356
CONST_1950,CONST_1950_Art357
CONST_1950,CONST_1950_Art358
CONST_1950,CONST_1950_Art359
CONST_1950,CONST_1950_Art360
CONST_1950,CONST_1950_Art361
CONST_1950,CONST_1950_Art361A
CONST_1950,CONST_1950_Art361B
CONST_1950,CONST_1950_Art363
CONST_1950,CONST_1950_Art363A
CONST_1950,CONST_1950_Art364
CONST_1950,CONST_1950_Art365
CONST_1950,CONST_1950_Art367
CONST_1950,CONST_1950_Art368
CONST_1950,CONST_1950_Art369
CONST_1950,CONST_1950_Art370
CONST_1950,CONST_1950_Art371
CONST_1950,CONST_1950_Art371A
CONST_1950,CONST_1950_Art371C
CONST_1950,CONST_1950_Art371D
CONST_1950,CONST_1950_Art371E
CONST_1950,CONST_1950_Art371F
CONST_1950,CONST_1950_Art371G
CONST_1950,CONST_1950_Art371H
CONST_1950,CONST_1950_Art371J
CONST_1950,CONST_1950_Art372
CONST_1950,CONST_1950_Art372A
CONST_1950,CONST_1950_Art373
CONST_1950,CONST_1950_Art374
CONST_1950,CONST_1950_Art375
CONST_1950,CONST_1950_Art376
CONST_1950,CONST_1950_Art377
CONST_1950,CONST_1950_Art378
CONST_1950,CONST_1950_Art378A
CONST_1950,CONST_1950_Art392
CONST_1950,CONST_1950_Art394
CONST_1950,CONST_1950_Art394A
CONST_1950,CONST_1950_Art395
CONST_1950,CONST_1950_Art1
CONST_1950,CONST_1950_Art2
CONST_1950,CONST_1950_Art3
CONST_1950,CONST_1950_Art4
CONST_1950,CONST_1950_Art5
CONST_1950,CONST_1950_Art6
CONST_1950,CONST_1950_Art7
CONST_1950,CONST_1950_Art8
CONST_1950,CONST_1950_Art9
CONST_1950,CONST_1950_Art10
CONST_1950,CONST_1950_Art11
CONST_1950,CONST_1950_Art12
CONST_1950,CONST_1950_Art13
CONST_1950,CONST_1950_Art14
CONST_1950,CONST_1950_Art15
CONST_1950,CONST_1950_Art16
CONST_1950,CONST_1950_Art17
CONST_1950,CONST_1950_Art18
CONST_1950,CONST_1950_Art19
CONST_1950,CONST_1950_Art20
CONST_1950,CONST_1950_Art21
CONST_1950,CONST_1950_Art22
CONST_1950,CONST_1950_Art23
CONST_1950,CONST_1950_Art24
CONST_1950,CONST_1950_Art25
CONST_1950,CONST_1950_Art26
CONST_1950,CONST_1950_Art27
CONST_1950,CONST_1950_Art28
CONST_1950,CONST_1950_Art32
CONST_1950,CONST_1950_Art34
CONST_1950,CONST_1950_Art41
CONST_1950,CONST_1950_Art42
CONST_1950,CONST_1950_Art43
CONST_1950,CONST_1950_Art102
CONST_1950,CONST_1950_Art135
CONST_1950,CONST_1950_Art137
CONST_1950,CONST_1950_Art141
CONST_1950,CONST_1950_Art143
CONST_1950,CONST_1950_Art153
CONST_1950,CONST_1950_Art154
CONST_1950,CONST_1950_Art155
CONST_1950,CONST_1950_Art158
CONST_1950,CONST_1950_Art159
CONST_1950,CONST_1950_Art160
CONST_1950,CONST_1950_Art164
CONST_1950,CONST_1950_Art191
CONST_1950,CONST_1950_Art236
CONST_1950,CONST_1950_Art243
CONST_1950,CONST_1950_Art243F
CONST_1950,CONST_1950_Art243I
CONST_1950,CONST_1950_Art243O
CONST_1950,CONST_1950_Art243P
CONST_1950,CONST_1950_Art243V
CONST_1950,CONST_1950_Art299
CONST_1950,CONST_1950_Art300
CONST_1950,CONST_1950_Art308
CONST_1950,CONST_1950_Art315
CONST_1950,CONST_1950_Art324
CONST_1950,CONST_1950_Art325
CONST_1950,CONST_1950_Art326
CONST_1950,CONST_1950_Art330
CONST_1950,CONST_1950_Art332
CONST_1950,CONST_1950_Art339
CONST_1950,CONST_1950_Art341
CONST_1950,CONST_1950_Art342
CONST_1950,CONST_1950_Art344
CONST_1950,CONST_1950_Art352
CONST_1950,CONST_1950_Art353
CONST_1950,CONST_1950_Art354
CONST_1950,CONST_1950_Art355
CONST_1950,CONST_1950_Art366
CONST_1950,CONST_1950_Art393
CONST_1950,CONST_1950_Art3B
CONST_1950,CONST_1950_Art12B
CONST_1950,CONST_1950_Art31
CONST_1950,CONST_1950_Art45
CONST_1950,CONST_1950_Art17B
CONST_1950,CONST_1950_Art232
CONST_1950,CONST_1950_Art238
CONST_1950,CONST_1950_Art242
CONST_1950,CONST_1950_Art259
CONST_1950,CONST_1950_Art264
CONST_1950,CONST_1950_Art272
CONST_1950,CONST_1950_Art278
